order_item_id,order_id,product_id,quantity,unit_price,discount_pct,line_total
1,1,2322,2,1387.83,30.0,1942.96
2,1,477,1,455.74,25.0,341.81
3,1,936,1,108.41,0.0,108.41
4,1,961,1,55.02,5.0,52.27
5,1,2170,2,14.08,0.0,28.16
6,2,1614,1,65.75,25.0,49.31
7,3,3067,1,780.15,25.0,585.11
8,3,336,2,27.83,0.0,55.66
9,3,2483,2,66.27,0.0,132.54
10,3,308,1,23.9,0.0,23.9
11,3,1,1,197.3,0.0,197.3
12,4,4966,2,63.54,0.0,127.08
13,4,24,3,9.03,20.0,21.67
14,4,2119,2,654.46,0.0,1308.92
15,4,589,1,1319.11,10.0,1187.2
16,5,2434,2,166.55,0.0,333.1
17,5,523,1,65.16,0.0,65.16
18,5,2434,2,166.55,10.0,299.79
19,6,4468,2,521.98,0.0,1043.96
20,6,1101,1,106.43,15.0,90.47
21,7,2854,3,179.21,0.0,537.63
22,7,2573,2,71.3,0.0,142.6
23,7,4083,3,114.89,0.0,344.67
24,8,1098,1,457.68,0.0,457.68
25,9,1369,1,48.58,0.0,48.58
26,9,1111,3,180.77,0.0,542.31
27,10,3568,2,685.71,5.0,1302.85
28,10,3496,1,203.78,20.0,163.02
29,10,4601,1,116.64,30.0,81.65
30,10,1409,3,22.1,20.0,53.04
31,10,3656,1,897.95,0.0,897.95
32,11,4801,1,39.1,0.0,39.1
33,12,1611,1,877.51,30.0,614.26
34,13,674,1,18.23,30.0,12.76
35,14,4188,2,129.62,30.0,181.47
36,14,2605,3,52.81,0.0,158.43
37,14,1807,1,3.34,30.0,2.34
38,15,2257,2,71.89,0.0,143.78
39,16,2051,3,29.91,20.0,71.78
40,17,2654,1,237.15,10.0,213.44
41,17,3561,2,638.5,0.0,1277.0
42,18,4468,1,521.98,20.0,417.58
43,18,955,2,23.54,0.0,47.08
44,18,1578,2,70.02,0.0,140.04
45,19,710,2,121.42,20.0,194.27
46,19,3074,3,223.75,25.0,503.44
47,20,701,3,141.83,0.0,425.49
48,20,2156,1,115.35,10.0,103.81
49,20,2527,1,4.4,0.0,4.4
50,20,3316,1,82.71,25.0,62.03
51,20,4965,1,502.12,20.0,401.7
52,21,1693,1,455.2,0.0,455.2
53,22,3563,1,70.13,20.0,56.1
54,22,2434,1,166.55,0.0,166.55
55,22,1454,2,128.76,30.0,180.26
56,22,4405,2,97.86,0.0,195.72
57,23,459,1,28.33,10.0,25.5
58,24,3657,1,395.22,0.0,395.22
59,24,1340,1,133.8,0.0,133.8
60,24,2782,1,59.21,0.0,59.21
61,24,1952,2,133.01,10.0,239.42
62,25,4600,1,136.84,5.0,130.0
63,26,4988,1,8.34,30.0,5.84
64,27,2652,2,78.88,0.0,157.76
65,27,2730,2,194.78,25.0,292.17
66,27,3663,1,231.21,30.0,161.85
67,28,2434,1,166.55,25.0,124.91
68,28,3496,1,203.78,0.0,203.78
69,29,2996,3,9.24,10.0,24.95
70,29,2039,1,31.3,0.0,31.3
71,29,3994,1,28.52,0.0,28.52
72,30,4612,2,433.65,0.0,867.3
73,31,2434,1,166.55,30.0,116.58
74,32,2696,1,86.13,0.0,86.13
75,32,848,3,130.91,0.0,392.73
76,33,3467,3,196.11,0.0,588.33
77,33,127,2,13.35,5.0,25.36
78,34,4197,3,165.38,0.0,496.14
79,34,1162,1,38.92,20.0,31.14
80,35,3080,1,1513.7,0.0,1513.7
81,35,3256,1,108.43,20.0,86.74
82,36,3358,2,186.2,15.0,316.54
83,36,3049,1,531.8,0.0,531.8
84,37,3894,1,165.17,25.0,123.88
85,37,2427,3,190.19,15.0,484.98
86,37,1454,2,128.76,15.0,218.89
87,38,1709,3,422.09,0.0,1266.27
88,38,4636,1,132.07,0.0,132.07
89,38,3009,1,18.99,30.0,13.29
90,38,924,1,116.21,30.0,81.35
91,39,642,2,25.91,0.0,51.82
92,39,2533,3,848.56,0.0,2545.68
93,40,586,1,38.24,0.0,38.24
94,40,1454,3,128.76,5.0,366.97
95,40,1104,1,25.89,0.0,25.89
96,40,2652,1,78.88,30.0,55.22
97,41,4262,2,128.92,5.0,244.95
98,41,455,1,180.96,0.0,180.96
99,42,42,1,32.44,0.0,32.44
100,42,4881,2,21.31,0.0,42.62
101,42,1425,1,150.0,5.0,142.5
102,42,4281,1,132.4,0.0,132.4
103,43,205,2,223.53,0.0,447.06
104,44,291,1,34.14,5.0,32.43
105,44,4071,3,36.55,10.0,98.68
106,44,2652,1,78.88,0.0,78.88
107,44,2434,1,166.55,20.0,133.24
108,45,627,2,353.26,0.0,706.52
109,46,2353,1,1991.83,30.0,1394.28
110,47,342,3,241.79,15.0,616.56
111,47,777,3,761.38,0.0,2284.14
112,48,4666,1,559.5,30.0,391.65
113,48,2188,1,68.42,15.0,58.16
114,49,4276,1,90.14,25.0,67.61
115,50,2498,1,53.03,20.0,42.42
116,50,336,2,27.83,20.0,44.53
117,50,1245,2,931.86,20.0,1490.98
118,50,1950,2,230.71,20.0,369.14
119,51,1162,3,38.92,15.0,99.25
120,52,3696,1,70.97,0.0,70.97
121,52,2688,1,69.87,0.0,69.87
122,53,1454,1,128.76,0.0,128.76
123,53,4276,2,90.14,15.0,153.24
124,53,4812,2,41.66,10.0,74.99
125,54,4082,1,170.43,0.0,170.43
126,54,4606,2,195.42,0.0,390.84
127,55,1104,2,25.89,30.0,36.25
128,55,1875,2,70.72,0.0,141.44
129,56,459,1,28.33,0.0,28.33
130,57,1606,2,550.98,5.0,1046.86
131,57,1253,3,620.22,0.0,1860.66
132,57,1427,1,338.23,0.0,338.23
133,57,2652,3,78.88,0.0,236.64
134,58,4506,1,661.57,0.0,661.57
135,59,2051,3,29.91,30.0,62.81
136,59,514,2,34.22,25.0,51.33
137,60,1610,2,6.91,20.0,11.06
138,60,1646,1,1134.57,0.0,1134.57
139,60,525,2,822.88,30.0,1152.03
140,60,1835,1,236.66,0.0,236.66
141,60,3242,2,239.55,0.0,479.1
142,61,4571,3,231.59,15.0,590.55
143,61,1871,3,48.28,20.0,115.87
144,62,4547,1,39.64,0.0,39.64
145,62,2434,1,166.55,0.0,166.55
146,63,3961,1,178.73,0.0,178.73
147,63,3971,1,1833.84,25.0,1375.38
148,63,2652,1,78.88,30.0,55.22
149,63,3074,1,223.75,0.0,223.75
150,63,1656,2,241.36,15.0,410.31
151,64,3754,1,1367.04,10.0,1230.34
152,65,3894,2,165.17,10.0,297.31
153,66,2406,1,210.33,25.0,157.75
154,66,454,2,25.74,0.0,51.48
155,66,2514,2,208.7,25.0,313.05
156,67,2043,3,74.7,15.0,190.49
157,68,3563,1,70.13,5.0,66.62
158,69,4571,1,231.59,0.0,231.59
159,69,70,1,44.69,5.0,42.46
160,70,1326,2,55.72,30.0,78.01
161,70,55,2,12.28,25.0,18.42
162,71,4145,1,69.93,20.0,55.94
163,71,2529,3,16.4,15.0,41.82
164,71,2007,1,115.34,0.0,115.34
165,72,2051,3,29.91,20.0,71.78
166,72,946,1,80.48,0.0,80.48
167,72,1454,1,128.76,0.0,128.76
168,73,3741,2,78.4,20.0,125.44
169,74,134,1,98.33,0.0,98.33
170,74,3287,3,67.23,0.0,201.69
171,74,754,1,199.58,25.0,149.69
172,75,3568,1,685.71,15.0,582.85
173,76,1104,2,25.89,0.0,51.78
174,76,3496,1,203.78,25.0,152.84
175,77,945,1,71.45,20.0,57.16
176,77,381,3,557.68,0.0,1673.04
177,77,590,2,503.39,15.0,855.76
